reportedyear,crime,Neighbourhood,Lat,Long
2014,Break and Enter,Newtonbrook East (50),43.7982864,-79.3965454
2014,Assault,Kensington-Chinatown (78),43.6496811,-79.3921585
2014,Break and Enter,Regent Park (72),43.6624184,-79.3586884
2014,Break and Enter,Downsview-Roding-CFB (26),43.7290611,-79.4826431
2014,Robbery,Moss Park (73),43.6561661,-79.3701248
2014,Assault,Agincourt North (129),43.8109589,-79.2709732
2014,Robbery,Victoria Village (43),43.7383575,-79.3097839
2014,Break and Enter,Victoria Village (43),43.7383575,-79.3097839
2014,Robbery,Waterfront Communities-The Island (77),43.6420593,-79.3811111
2014,Assault,Newtonbrook East (50),43.7797699,-79.4155731
2014,Robbery,Eglinton East (138),43.740593,-79.239296
2014,Assault,Ionview (125),43.7308464,-79.2738876
2014,Robbery,Downsview-Roding-CFB (26),43.7255173,-79.5132065
2014,Assault,O'Connor-Parkview (54),43.7058601,-79.306778
2014,Assault,High Park North (88),43.6516113,-79.4740906
2014,Assault,Church-Yonge Corridor (75),43.6618767,-79.3793716
2014,Assault,South Riverdale (70),43.6672897,-79.3293839
2014,Assault,South Riverdale (70),43.6672897,-79.3293839
2014,Assault,South Riverdale (70),43.6672897,-79.3293839
2014,Assault,Bay Street Corridor (76),43.6508713,-79.3826675
2014,Break and Enter,Forest Hill North (102),43.7020035,-79.4208908
2014,Robbery,West Humber-Clairville (1),43.7336197,-79.600563
2014,Assault,Malvern (132),43.7938728,-79.2387543
2014,Break and Enter,L'Amoreaux (117),43.7936172,-79.312088
2014,Robbery,Playter Estates-Danforth (67),43.6775246,-79.3586502
2014,Assault,York University Heights (27),43.774353,-79.4998016
2014,Assault,Annex (95),43.6685829,-79.4177628
2014,Assault,Woburn (137),43.7618561,-79.2158356
2014,Assault,Stonegate-Queensway (16),43.6309738,-79.481514
2014,Assault,Malvern (132),43.8115005,-79.2177124
2014,Assault,Malvern (132),43.8115005,-79.2177124
2014,Break and Enter,Playter Estates-Danforth (67),43.6775589,-79.3519669
2014,Break and Enter,Birchcliffe-Cliffside (122),43.6963806,-79.2579346
2014,Assault,Bendale (127),43.7736168,-79.2611313
2014,Robbery,Bendale (127),43.7736168,-79.2611313
2014,Assault,Thorncliffe Park (55),43.7074776,-79.3436279
2014,Assault,Thorncliffe Park (55),43.7074776,-79.3436279
2014,Assault,Birchcliffe-Cliffside (122),43.7021065,-79.2538681
2014,Assault,High Park-Swansea (87),43.6393433,-79.4513092
2014,Break and Enter,Clanton Park (33),43.7438698,-79.4375763
2014,Robbery,Agincourt North (129),43.8142586,-79.2683411
2014,Assault,Church-Yonge Corridor (75),43.6531715,-79.3757706
2014,Assault,Ionview (125),43.7287025,-79.2717514
2014,Assault,Ionview (125),43.7287025,-79.2717514
2014,Robbery,Clairlea-Birchmount (120),43.7000847,-79.2867279
2014,Robbery,New Toronto (18),43.6007652,-79.5052719
2014,Robbery,Church-Yonge Corridor (75),43.6563301,-79.380928
2014,Assault,Briar Hill-Belgravia (108),43.695694,-79.4502792
2014,Break and Enter,Agincourt North (129),43.8157043,-79.2652283
2014,Robbery,Rosedale-Moore Park (98),43.6728745,-79.3878632
2014,Assault,Woburn (137),43.7687073,-79.2136307
2014,Break and Enter,Milliken (130),43.8156738,-79.281868
2014,Break and Enter,West Humber-Clairville (1),43.7304916,-79.5926514
2014,Robbery,Beechborough-Greenbrook (112),43.6901665,-79.4750595
2014,Robbery,Newtonbrook West (36),43.7831802,-79.4234085
2014,Break and Enter,Rockcliffe-Smythe (111),43.6716728,-79.4937515
2014,Break and Enter,South Parkdale (85),43.6346245,-79.4306107
2014,Break and Enter,East End-Danforth (62),43.6806297,-79.286087
2014,Assault,Wexford/Maryvale (119),43.7249718,-79.3005371
2014,Assault,York University Heights (27),43.7545166,-79.4887619
2014,Assault,Willowdale East (51),43.7785378,-79.4058228
2014,Assault,Bendale (127),43.7684288,-79.2688065
2014,Break and Enter,Clanton Park (33),43.7477875,-79.4432068
2014,Assault,Milliken (130),43.8012695,-79.2966003
2014,Assault,Bay Street Corridor (76),43.668541,-79.3870697
2014,Assault,Annex (95),43.6696091,-79.3945007
2014,Assault,Mimico (includes Humber Bay Shores) (17),43.6181068,-79.4869156
2014,Assault,West Humber-Clairville (1),43.699749,-79.6014709
2014,Break and Enter,Eglinton East (138),43.7366791,-79.2372894
2014,Assault,Church-Yonge Corridor (75),43.655777,-79.3806763
2014,Robbery,St.Andrew-Windfields (40),43.7546997,-79.3520355
2014,Assault,Lambton Baby Point (114),43.6481056,-79.4908447
2014,Assault,East End-Danforth (62),43.6774254,-79.3047562
2014,Robbery,Bendale (127),43.7560768,-79.2560196
2014,Robbery,Bendale (127),43.7560768,-79.2560196
2014,Assault,Moss Park (73),43.6539574,-79.3720779
2014,Break and Enter,Moss Park (73),43.6539574,-79.3720779
2014,Assault,Willowridge-Martingrove-Richview (7),43.6785393,-79.5448914
2014,Assault,Lansing-Westgate (38),43.7373581,-79.4340057
2014,Break and Enter,West Humber-Clairville (1),43.7123146,-79.5886612
2014,Assault,Rosedale-Moore Park (98),43.6755905,-79.3889847
2014,Break and Enter,Wychwood (94),43.68293,-79.419548
2014,Break and Enter,Clairlea-Birchmount (120),43.7110825,-79.2698059
2014,Assault,Pleasant View (46),43.7755241,-79.335144
2014,Assault,Clairlea-Birchmount (120),43.715889,-79.2859344
2014,Assault,Birchcliffe-Cliffside (122),43.7065697,-79.2491608
2014,Break and Enter,Mount Pleasant West (104),43.6973763,-79.3964691
2014,Assault,Annex (95),43.6743774,-79.3998413
2014,Robbery,Willowridge-Martingrove-Richview (7),43.6909599,-79.5325165
2014,Robbery,Willowridge-Martingrove-Richview (7),43.6909599,-79.5325165
2014,Robbery,Willowridge-Martingrove-Richview (7),43.6909599,-79.5325165
2014,Break and Enter,Bayview Village (52),43.7697182,-79.3741989
2014,Robbery,Don Valley Village (47),43.7902794,-79.3541565
2014,Robbery,Black Creek (24),43.7614365,-79.5205994
2014,Assault,Leaside-Bennington (56),43.7051086,-79.3749313
2014,Break and Enter,Clairlea-Birchmount (120),43.7233849,-79.3021011
2014,Assault,Trinity-Bellwoods (81),43.644207,-79.4188614
2014,Assault,Trinity-Bellwoods (81),43.644207,-79.4188614
2014,Assault,Trinity-Bellwoods (81),43.644207,-79.4188614
2014,Break and Enter,Kensington-Chinatown (78),43.6521606,-79.4048462
2014,Assault,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972
2014,Assault,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972
2014,Assault,Birchcliffe-Cliffside (122),43.6768684,-79.2812805
2014,Break and Enter,Eringate-Centennial-West Deane (11),43.6446991,-79.5885086
2014,Assault,Annex (95),43.6698189,-79.4007645
2014,Theft Over,Waterfront Communities-The Island (77),43.6447487,-79.3917923
2014,Assault,Woburn (137),43.7622566,-79.2139359
2014,Robbery,West Hill (136),43.7706146,-79.1868668
2014,Break and Enter,University (79),43.6582603,-79.398201
2014,Assault,Scarborough Village (139),43.7359428,-79.2202072
2014,Assault,West Hill (136),43.7685089,-79.1888199
2014,Assault,West Hill (136),43.7685089,-79.1888199
2014,Break and Enter,Banbury-Don Mills (42),43.7464676,-79.343689
2014,Break and Enter,Don Valley Village (47),43.7758369,-79.3437195
2014,Assault,Mount Olive-Silverstone-Jamestown (2),43.7410965,-79.5892334
2014,Assault,Rockcliffe-Smythe (111),43.6803474,-79.4754868
2014,Assault,East End-Danforth (62),43.6807938,-79.3107529
2014,Robbery,Moss Park (73),43.660656,-79.3748474
